T,seed,modulator_correct,M_source0,M_source2,err_g123,err_g145,err_edge_source0,err_edge_source2,elapsed_seconds
1000,42,0,"[1, 2, 3]","[0, 1, 3]",0.43022119998931885,0.27327290177345276,0.5165034135163338,0.34376848477085076,0.8327348232269287
1000,1042,0,"[1, 2]","[0, 3]",0.2749314606189728,0.26741909980773926,0.2910163953169823,0.29300768969370355,0.822486400604248
1000,2042,0,"[1, 2, 3]","[0, 1, 3]",0.27562177181243896,0.2858942747116089,0.19836274495380538,0.12674815070254317,0.8213028907775879
1000,3042,0,"[1, 2, 3]","[0, 1, 3]",0.24697647988796234,0.2557101845741272,0.25077642217500656,0.4735842797143383,0.8215844631195068
1000,4042,0,"[1, 2, 3]","[0, 1, 3]",0.328369140625,0.3570272922515869,0.26567963842062,0.7089222489466173,0.8213982582092285
5000,42,1,[1],[3],0.31563958525657654,0.19856427609920502,0.2755273693749396,0.20707362716605732,4.061018228530884
5000,1042,1,[1],[3],0.29739755392074585,0.19960251450538635,0.28538035199389006,0.19112280533069803,4.024895668029785
5000,2042,1,[1],[3],0.2909104824066162,0.19518022239208221,0.2856474138718373,0.18978236754173958,4.047685384750366
5000,3042,1,[1],[3],0.26786938309669495,0.18938641250133514,0.2593229929419417,0.1980227353556045,4.0538036823272705
5000,4042,0,[1],"[0, 3]",0.31147727370262146,0.2771334648132324,0.27342834546225986,0.866566275129815,4.014553070068359
25000,42,1,[1],[3],0.309422105550766,0.16028578579425812,0.27518727452859454,0.21745122642621598,19.483785152435303
25000,1042,1,[1],[3],0.28215906023979187,0.15061724185943604,0.27026384054480795,0.14114776078865054,19.520584106445312
25000,2042,1,[1],[3],0.3172435164451599,0.16180256009101868,0.2806047712453238,0.13465954111560904,19.448682069778442
25000,3042,1,[1],[3],0.28061288595199585,0.14986242353916168,0.25992946839961867,0.12807741870704697,19.66590642929077
25000,4042,1,[1],[3],0.2969387173652649,0.23922087252140045,0.2740853106558752,0.8825963513267784,19.656365156173706
100000,42,1,[1],[3],0.30706852674484253,0.15316049754619598,0.28294065471240964,0.13114623154911273,78.20207810401917
100000,1042,1,[1],[3],0.25792044401168823,0.13142146170139313,0.24835722586102624,0.1120318526857458,80.59445905685425
100000,2042,1,[1],[3],0.2727072536945343,0.1314133107662201,0.2607537413632237,0.1137203784785619,87.93237209320068
100000,3042,1,[1],[3],0.25587034225463867,0.1350848525762558,0.24904043296438033,0.11284389996176244,88.87207913398743
100000,4042,1,[1],[3],0.25631028413772583,0.18788306415081024,0.2493467778789447,0.2958336051644376,83.25524067878723
