rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.0,42,25000,1,1,1,[1],[3],[1],[3],0.31103527545928955,0.2791818380355835,0.16528022289276123,0.1632390022277832,0.2951085567474365,0.16425961256027222,0.03213588148355484,0.005042667500674725,3.012467781742865,129.76154017448425
0.0,1042,25000,1,0,0,[1],[3],[],[3],0.3040822446346283,0.7582658529281616,0.14930619299411774,0.0474727489054203,0.531174048781395,0.09838947094976902,0.45439082384109497,0.11074464023113251,2.9962457427576505,126.74825882911682
0.0,2042,25000,0,1,0,[],[3],[1],[3],0.7540383338928223,0.2673196494579315,0.04383758082985878,0.16543030738830566,0.5106789916753769,0.10463394410908222,0.4870784282684326,0.13130028545856476,2.988201537607777,129.47028613090515
0.0,3042,25000,1,1,1,[1],[3],[1],[3],0.2702960968017578,0.2864465117454529,0.1625824272632599,0.2347903996706009,0.27837130427360535,0.1986864134669304,0.01830892637372017,0.07290815562009811,3.010782192648788,121.225834608078
0.0,4042,25000,1,1,1,[1],[3],[1],[3],0.31803271174430847,0.2892153561115265,0.14294962584972382,0.15764272212982178,0.3036240339279175,0.1502961739897728,0.029474955052137375,0.01582023873925209,2.9867288073017475,119.16843152046204
0.0,5042,25000,1,1,1,[1],[3],[1],[3],0.2866498827934265,0.289106160402298,0.15608826279640198,0.23277580738067627,0.28787802159786224,0.19443203508853912,0.004971709102392197,0.07761210203170776,2.9879754433088244,129.85339283943176
0.0,6042,25000,0,0,0,[1],[0],[],[3],0.287276953458786,0.7540717720985413,0.49660706520080566,0.05118554085493088,0.5206743627786636,0.27389630302786827,0.4670570492744446,0.4528336822986603,2.9932366512327455,131.21929121017456
0.0,7042,25000,1,0,0,[1],[3],[],[3],0.28346720337867737,0.7652041912078857,0.23489950597286224,0.05442335456609726,0.5243356972932816,0.14466143026947975,0.4820873737335205,0.18673332035541534,3.00349061446012,130.69239830970764
0.0,8042,25000,1,1,1,[1],[3],[1],[3],0.2897171080112457,0.31066036224365234,0.1902657151222229,0.14809128642082214,0.30018873512744904,0.16917850077152252,0.021707803010940552,0.042746614664793015,2.993711328355977,129.32413268089294
0.0,9042,25000,1,1,1,[1],[3],[1],[3],0.2970063090324402,0.28998076915740967,0.15577559173107147,0.14779992401599884,0.2934935390949249,0.15178775787353516,0.0084204887971282,0.011375973001122475,2.9976795155180906,115.0187714099884
