site,setup,target,source,discovered_modulators,n_modulators
Nongzhanguan,A_O3_photochem,O3,NO2,"PRES,RAIN,TEMP,WSPM",4
Nongzhanguan,A_O3_photochem,O3,TEMP,"NO2,PRES,RAIN,WSPM",4
Nongzhanguan,A_O3_photochem,O3,WSPM,"NO2,PRES,RAIN,TEMP",4
Nongzhanguan,A_O3_photochem,O3,PRES,"NO2,RAIN,TEMP,WSPM",4
Nongzhanguan,A_O3_photochem,O3,RAIN,"NO2,PRES,TEMP,WSPM",4
Tiantan,A_O3_photochem,O3,NO2,"PRES,TEMP,WSPM",3
Tiantan,A_O3_photochem,O3,TEMP,"NO2,PRES,RAIN,WSPM",4
Tiantan,A_O3_photochem,O3,WSPM,"NO2,PRES,RAIN,TEMP",4
Tiantan,A_O3_photochem,O3,PRES,"NO2,RAIN,TEMP,WSPM",4
Tiantan,A_O3_photochem,O3,RAIN,"NO2,PRES,TEMP,WSPM",4
Huairou,A_O3_photochem,O3,NO2,"PRES,RAIN,TEMP,WSPM",4
Huairou,A_O3_photochem,O3,TEMP,"NO2,PRES,RAIN,WSPM",4
Huairou,A_O3_photochem,O3,WSPM,"NO2,PRES,RAIN,TEMP",4
Huairou,A_O3_photochem,O3,PRES,"NO2,RAIN,TEMP,WSPM",4
Huairou,A_O3_photochem,O3,RAIN,"NO2,PRES,TEMP,WSPM",4
Gucheng,A_O3_photochem,O3,NO2,"PRES,TEMP,WSPM",3
Gucheng,A_O3_photochem,O3,TEMP,"NO2,PRES,RAIN,WSPM",4
Gucheng,A_O3_photochem,O3,WSPM,"NO2,PRES,RAIN,TEMP",4
Gucheng,A_O3_photochem,O3,PRES,"NO2,RAIN,TEMP,WSPM",4
Gucheng,A_O3_photochem,O3,RAIN,"NO2,PRES,TEMP,WSPM",4
Nongzhanguan,B_PM10_dispersion,PM10,PM2.5,"DEWP,TEMP,WSPM",3
Nongzhanguan,B_PM10_dispersion,PM10,WSPM,"DEWP,PM2.5,TEMP",3
Nongzhanguan,B_PM10_dispersion,PM10,TEMP,"DEWP,PM2.5,WSPM",3
Nongzhanguan,B_PM10_dispersion,PM10,DEWP,"PM2.5,TEMP,WSPM",3
Tiantan,B_PM10_dispersion,PM10,PM2.5,"DEWP,TEMP,WSPM",3
Tiantan,B_PM10_dispersion,PM10,WSPM,"DEWP,PM2.5,TEMP",3
Tiantan,B_PM10_dispersion,PM10,TEMP,"DEWP,PM2.5,WSPM",3
Tiantan,B_PM10_dispersion,PM10,DEWP,"PM2.5,TEMP,WSPM",3
Huairou,B_PM10_dispersion,PM10,PM2.5,"DEWP,TEMP,WSPM",3
Huairou,B_PM10_dispersion,PM10,WSPM,"DEWP,PM2.5,TEMP",3
Huairou,B_PM10_dispersion,PM10,TEMP,"DEWP,PM2.5,WSPM",3
Huairou,B_PM10_dispersion,PM10,DEWP,"PM2.5,TEMP,WSPM",3
Gucheng,B_PM10_dispersion,PM10,PM2.5,"DEWP,TEMP,WSPM",3
Gucheng,B_PM10_dispersion,PM10,WSPM,"DEWP,PM2.5,TEMP",3
Gucheng,B_PM10_dispersion,PM10,TEMP,"DEWP,PM2.5,WSPM",3
Gucheng,B_PM10_dispersion,PM10,DEWP,"PM2.5,TEMP,WSPM",3
