T,seed,pair,is_true,interaction_mass
5000,0,"(0, 1)",True,0.19072218551532857
5000,0,"(0, 2)",False,0.01008242024499735
5000,0,"(0, 3)",False,0.002243039647356835
5000,0,"(1, 2)",False,0.0023864542039466015
5000,0,"(1, 3)",False,0.0008797697328876971
5000,0,"(2, 3)",True,0.07419302965363354
5000,1,"(0, 1)",True,0.2053093810224563
5000,1,"(0, 2)",False,0.0028731244268932338
5000,1,"(0, 3)",False,0.0006344780172187884
5000,1,"(1, 2)",False,0.0013032461817968533
5000,1,"(1, 3)",False,0.0003832453806044502
5000,1,"(2, 3)",True,0.05750484840370015
5000,2,"(0, 1)",True,0.21691054589105338
5000,2,"(0, 2)",False,0.004024576465148504
5000,2,"(0, 3)",False,0.0015688283131692386
5000,2,"(1, 2)",False,0.0018351919727956926
5000,2,"(1, 3)",False,0.0019813440636479098
5000,2,"(2, 3)",True,0.052801853117857914
5000,3,"(0, 1)",True,0.17195996673445008
5000,3,"(0, 2)",False,0.004478668733016697
5000,3,"(0, 3)",False,0.0032875089169242485
5000,3,"(1, 2)",False,0.0045182349702333965
5000,3,"(1, 3)",False,0.0003792868214753406
5000,3,"(2, 3)",True,0.05393244774805842
5000,4,"(0, 1)",True,0.19777282427343765
5000,4,"(0, 2)",False,0.00031020462201639717
5000,4,"(0, 3)",False,0.0008861748493647477
5000,4,"(1, 2)",False,0.0005856545336065135
5000,4,"(1, 3)",False,0.001192043286330319
5000,4,"(2, 3)",True,0.05978608817990496
25000,0,"(0, 1)",True,0.17566226499998305
25000,0,"(0, 2)",False,7.328304588499311e-05
25000,0,"(0, 3)",False,4.269783799203787e-05
25000,0,"(1, 2)",False,8.063018124233473e-05
25000,0,"(1, 3)",False,7.154957530660371e-05
25000,0,"(2, 3)",True,0.021737718960085965
25000,1,"(0, 1)",True,0.15804716816811515
25000,1,"(0, 2)",False,7.844027134790133e-05
25000,1,"(0, 3)",False,0.00011310024455843954
25000,1,"(1, 2)",False,8.756607942515799e-05
25000,1,"(1, 3)",False,4.743927854638652e-05
25000,1,"(2, 3)",True,0.02935568286202139
25000,2,"(0, 1)",True,0.1659245534348077
25000,2,"(0, 2)",False,6.318985171249256e-05
25000,2,"(0, 3)",False,5.828942066941772e-05
25000,2,"(1, 2)",False,9.02094796064971e-05
25000,2,"(1, 3)",False,4.98606687392636e-05
25000,2,"(2, 3)",True,0.024909446982024606
25000,3,"(0, 1)",True,0.1596081850832522
25000,3,"(0, 2)",False,9.471150492509995e-05
25000,3,"(0, 3)",False,8.191045745016268e-05
25000,3,"(1, 2)",False,8.843530660747326e-05
25000,3,"(1, 3)",False,0.00011341851970178207
25000,3,"(2, 3)",True,0.020596982513334895
25000,4,"(0, 1)",True,0.16229235548229626
25000,4,"(0, 2)",False,6.971565646279538e-05
25000,4,"(0, 3)",False,0.00011768229925032252
25000,4,"(1, 2)",False,3.347216112757453e-05
25000,4,"(1, 3)",False,4.09432586331277e-05
25000,4,"(2, 3)",True,0.021747400814471404
100000,0,"(0, 1)",True,0.1478485239190904
100000,0,"(0, 2)",False,1.5641356022361466e-06
100000,0,"(0, 3)",False,3.954636520198283e-07
100000,0,"(1, 2)",False,7.789371206650856e-07
100000,0,"(1, 3)",False,2.6904052300889276e-07
100000,0,"(2, 3)",True,0.020309388209936875
100000,1,"(0, 1)",True,0.1426315313968605
100000,1,"(0, 2)",False,5.8738837905082296e-06
100000,1,"(0, 3)",False,4.759404733903217e-06
100000,1,"(1, 2)",False,1.4331076942149967e-06
100000,1,"(1, 3)",False,4.6164893440828953e-07
100000,1,"(2, 3)",True,0.02067176913799696
100000,2,"(0, 1)",True,0.1460624556430334
100000,2,"(0, 2)",False,2.7271392309406783e-06
100000,2,"(0, 3)",False,2.0623537856375574e-06
100000,2,"(1, 2)",False,2.143664382076429e-06
100000,2,"(1, 3)",False,3.0195557150295367e-06
100000,2,"(2, 3)",True,0.020808472667542655
100000,3,"(0, 1)",True,0.14601763024416725
100000,3,"(0, 2)",False,2.718786771529406e-06
100000,3,"(0, 3)",False,2.061280029389566e-06
100000,3,"(1, 2)",False,2.8632144742891776e-06
100000,3,"(1, 3)",False,1.4282431412467407e-06
100000,3,"(2, 3)",True,0.020291963598781004
100000,4,"(0, 1)",True,0.14293509984107378
100000,4,"(0, 2)",False,9.58066611709946e-07
100000,4,"(0, 3)",False,8.491958079139413e-06
100000,4,"(1, 2)",False,4.357729288903377e-08
100000,4,"(1, 3)",False,2.231348051095194e-07
100000,4,"(2, 3)",True,0.01994133707820225
