T,seed,gnavar_mse,additive_mse,addpair_mse,mlp_mse,gnavar_top_pair,gnavar_recovers,addpair_top_pair,addpair_recovers,addpair_true_mass_frac,gnavar_params,addpair_params,mlp_params
5000,0,0.011869842186570168,0.18582341074943542,0.015282973647117615,0.014303579926490784,"(0, 1)",True,"(0, 1)",True,0.9444160415097822,2065,2251,2833
5000,1,0.01480854582041502,0.13987509906291962,0.01247403398156166,0.01264052651822567,"(0, 3)",False,"(0, 1)",True,0.9806196541175751,2065,2251,2833
5000,2,0.010938916355371475,0.14650458097457886,0.012287763878703117,0.012517391704022884,"(0, 1)",True,"(0, 1)",True,0.9662873963378494,2065,2251,2833
5000,3,0.01259941328316927,0.1700543314218521,0.014484723098576069,0.015434394590556622,"(0, 1)",True,"(0, 1)",True,0.9469152174124422,2065,2251,2833
5000,4,0.012970808893442154,0.1647355556488037,0.015346319414675236,0.015012335032224655,"(0, 1)",True,"(0, 1)",True,0.9885846422166293,2065,2251,2833
25000,0,0.011034129187464714,0.1726974993944168,0.011186175048351288,0.011215480044484138,"(0, 1)",True,"(0, 1)",True,0.9986433795796152,2065,2251,2833
25000,1,0.013011803850531578,0.16876743733882904,0.011903214268386364,0.01130625419318676,"(1, 3)",False,"(0, 1)",True,0.9982605501308721,2065,2251,2833
25000,2,0.010579417459666729,0.17502200603485107,0.011070379056036472,0.011185921728610992,"(0, 1)",True,"(0, 1)",True,0.9986313159989929,2065,2251,2833
25000,3,0.011017235927283764,0.17989929020404816,0.011782422661781311,0.011623293161392212,"(0, 1)",True,"(0, 1)",True,0.9979041524327043,2065,2251,2833
25000,4,0.010676390491425991,0.17077040672302246,0.011519215069711208,0.011555318720638752,"(0, 1)",True,"(0, 1)",True,0.998579429481051,2065,2251,2833
100000,0,0.010704582557082176,0.1729935258626938,0.010788723826408386,0.010762621648609638,"(0, 1)",True,"(0, 1)",True,0.9999821148819644,2065,2251,2833
100000,1,0.01102432981133461,0.17076599597930908,0.010668088681995869,0.010669575072824955,"(0, 3)",False,"(0, 1)",True,0.9999232894553952,2065,2251,2833
100000,2,0.010197263211011887,0.1697639375925064,0.010451781563460827,0.01059950515627861,"(0, 1)",True,"(0, 1)",True,0.999940360369309,2065,2251,2833
100000,3,0.01065717451274395,0.17308461666107178,0.01055486872792244,0.010650207288563251,"(0, 1)",True,"(0, 1)",True,0.9999454569612114,2065,2251,2833
100000,4,0.010277234017848969,0.17314055562019348,0.010288209654390812,0.01041398849338293,"(0, 1)",True,"(0, 1)",True,0.9999403464470693,2065,2251,2833
